,Date,Unix,Ticker,Debt Equity Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Difference Stocl,Difference stock
0,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,2060.98999,0.0,0.0,0.0,0.0
1,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,1131.130005,-45.11715192755497,45.11715192755497,0.0,45.11715192755497
2,2004-04-13 04:07:11,1081854431.0,a,0.375,31.87,-13.042291950886762,1129.439941,-45.19915446071623,32.156862509829466,-13.042291950886762,32.156862509829466
3,2004-12-13 21:37:34,1103002654.0,a,0.323,23.84,-34.95225102319236,1198.680054,-41.83959845433311,6.887347431140746,-34.95225102319236,6.887347431140746
4,2006-01-09 02:35:16,1136802916.0,a,0.0,34.65,-5.457025920873124,1290.150024,-37.40144152762237,31.944415606749242,-5.457025920873124,31.944415606749242
5,2006-06-21 11:01:16,1150912876.0,a,0.368,32.18,-12.19645293315143,1252.199951,-39.24279316853936,27.046340235387927,-12.19645293315143,27.046340235387927
6,2007-02-20 17:46:56,1172022416.0,a,0.411,32.48,-11.377899045020468,1459.680054,-29.17578148936085,17.79788244434038,-11.377899045020468,17.79788244434038
7,2007-04-12 05:07:51,1176379671.0,a,0.411,34.62,-5.538881309686224,1447.800049,-29.752203745540758,24.213322435854533,-5.538881309686224,24.213322435854533
8,2008-01-23 19:28:50,1201145330.0,a,0.645,32.16,-12.251023192360169,1338.599976,-35.05063185678063,22.799608664420465,-12.251023192360169,22.799608664420465
9,2008-02-14 04:44:34,1202993074.0,a,0.645,32.68,-10.832196452933148,1348.859985,-34.55281240837079,23.720615955437644,-10.832196452933148,23.720615955437644
10,2011-08-02 06:45:37,1312292737.0,a,54.36,40.79,11.296043656207368,1254.050049,-39.15302572624334,50.44906938245071,11.296043656207368,50.44906938245071
11,2011-11-08 05:04:16,1320757456.0,a,51.62,37.74,2.9740791268758624,1275.920044,-38.09188544384925,41.065964570725114,2.9740791268758624,41.065964570725114
